Date,Open,High,Low,Close,Adj Close,Volume
2021-08-31,945.0,975.0,800.0,860.0,860.0,4784087300
2021-09-30,860.0,860.0,670.0,695.0,695.0,6091360900
2021-10-31,695.0,765.0,540.0,545.0,545.0,6286827800
2021-11-30,540.0,550.0,408.0,430.0,430.0,8911589600
2021-12-31,430.0,515.0,314.0,356.0,356.0,9682240500
2022-01-31,356.0,412.0,334.0,338.0,338.0,4529149300
2022-02-28,342.0,390.0,258.0,382.0,382.0,13791658900
2022-03-31,386.0,400.0,308.0,382.0,382.0,8512350600
2022-04-30,382.0,382.0,270.0,294.0,294.0,5678705900
2022-05-31,294.0,312.0,262.0,282.0,282.0,7620413800
2022-06-30,274.0,314.0,248.0,294.0,294.0,6892301400
2022-07-31,298.0,354.0,292.0,300.0,300.0,12765441400
2022-08-31,298.0,298.0,262.0,272.0,272.0,5417883600
2022-09-30,270.0,292.0,242.0,276.0,276.0,4260703800
2022-10-31,278.0,320.0,270.0,286.0,286.0,9909313800
2022-11-30,290.0,292.0,252.0,262.0,262.0,2912887900
2022-12-31,262.0,300.0,254.0,290.0,290.0,2843571300
2023-01-31,290.0,306.0,258.0,262.0,262.0,3445570500
2023-02-28,262.0,270.0,220.0,248.0,248.0,2797981000
2023-03-31,248.0,248.0,226.0,236.0,236.0,1654718900
2023-04-30,236.0,246.0,193.0,212.0,212.0,3033538600
2023-05-31,212.0,232.0,204.0,212.0,212.0,3427385900
2023-06-30,212.0,248.0,208.0,216.0,216.0,4029906800
2023-07-31,216.0,246.0,214.0,232.0,232.0,3901972900
2023-08-31,234.0,268.0,206.0,218.0,218.0,7940226700
2023-09-30,218.0,220.0,193.0,210.0,210.0,1945040600
2023-10-31,206.0,222.0,198.0,208.0,208.0,2006604700
2023-11-30,208.0,218.0,194.0,216.0,216.0,1840623300
2023-12-31,216.0,216.0,181.0,192.0,192.0,2188391200
2024-01-31,188.0,193.0,153.0,157.0,157.0,3028378100
2024-02-29,158.0,173.0,136.0,152.0,152.0,3679411200
2024-03-31,152.0,154.0,114.0,130.0,130.0,3675261900
2024-04-30,130.0,142.0,117.0,130.0,130.0,6090985900
2024-05-31,132.0,142.0,115.0,139.0,139.0,4279871800
2024-06-30,138.0,143.0,117.0,121.0,121.0,3599914400
