Date,Open,High,Low,Close,Adj Close,Volume
2022-12-31,91.0,121.0,91.0,112.0,112.0,64695137200
2023-01-31,112.0,128.0,102.0,118.0,118.0,75885947500
2023-02-28,119.0,132.0,103.0,109.0,109.0,118374201200
2023-03-31,110.0,112.0,89.0,104.0,104.0,48826179100
2023-04-30,104.0,147.0,98.0,147.0,147.0,150877148500
2023-05-31,147.0,147.0,109.0,110.0,110.0,63931783000
2023-06-30,110.0,119.0,105.0,113.0,113.0,40581725900
2023-07-31,113.0,115.0,83.0,96.0,96.0,67674572300
2023-08-31,95.0,99.0,84.0,85.0,85.0,41090169200
2023-09-30,85.0,87.0,54.0,60.0,60.0,97192209000
2023-10-31,61.0,99.0,60.0,97.0,97.0,123558815800
2023-11-30,100.0,116.0,81.0,86.0,86.0,172071988600
2023-12-31,86.0,92.0,76.0,88.0,88.0,55856089100
2024-01-31,91.0,92.0,69.0,71.0,71.0,61429158300
2024-02-29,71.0,76.0,63.0,69.0,69.0,63653788500
2024-03-31,68.0,70.0,59.0,63.0,63.0,34385152700
2024-04-30,63.0,74.0,62.0,65.0,65.0,57900657900
2024-05-31,65.0,67.0,50.0,50.0,50.0,77206784300
2024-06-30,50.0,58.0,50.0,54.0,54.0,44497775600
