Date,Open,High,Low,Close,Adj Close,Volume
2022-12-04,123.0,123.0,93.0,93.0,93.0,1373475800.0
2022-12-11,87.0,108.0,81.0,96.0,96.0,41729916300.0
2022-12-18,95.0,95.0,84.0,86.0,86.0,11156677300.0
2022-12-25,86.0,99.0,81.0,91.0,91.0,13238418800.0
2023-01-01,91.0,97.0,91.0,95.0,95.0,8073076200.0
2023-01-08,95.0,107.0,91.0,105.0,105.0,13300046100.0
2023-01-15,105.0,118.0,103.0,114.0,114.0,22127515700.0
2023-01-22,114.0,121.0,113.0,117.0,117.0,16602629900.0
2023-01-29,117.0,128.0,109.0,124.0,124.0,17396919000.0
2023-02-05,124.0,127.0,105.0,105.0,105.0,13277969200.0
2023-02-12,102.0,127.0,102.0,125.0,125.0,26496062300.0
2023-02-19,127.0,128.0,113.0,120.0,120.0,17869604200.0
2023-02-26,120.0,125.0,114.0,124.0,124.0,14324610500.0
2023-03-05,125.0,132.0,123.0,125.0,125.0,15733727800.0
2023-03-12,124.0,129.0,113.0,116.0,116.0,72295462200.0
2023-03-19,115.0,116.0,103.0,115.0,115.0,10607726400.0
2023-03-26,115.0,119.0,109.0,109.0,109.0,10849936400.0
2023-04-02,110.0,112.0,100.0,101.0,101.0,13056522300.0
2023-04-09,100.0,101.0,89.0,92.0,92.0,23079358300.0
2023-04-16,93.0,95.0,92.0,95.0,95.0,2139378400.0
2023-04-23,95.0,105.0,92.0,104.0,104.0,10550920100.0
2023-04-30,104.0,110.0,98.0,106.0,106.0,10055709600.0
2023-05-07,107.0,120.0,104.0,116.0,116.0,27311001200.0
2023-05-14,116.0,120.0,113.0,115.0,115.0,16544795000.0
2023-05-21,115.0,117.0,104.0,104.0,104.0,20259692200.0
2023-05-28,104.0,147.0,103.0,147.0,147.0,76705950500.0
2023-06-04,125.0,130.0,113.0,127.0,127.0,29607395500.0
2023-06-11,126.0,127.0,114.0,117.0,117.0,18885135000.0
2023-06-18,119.0,119.0,113.0,113.0,113.0,8888648500.0
2023-06-25,112.0,114.0,109.0,110.0,110.0,6550604000.0
2023-07-02,110.0,112.0,107.0,108.0,108.0,7902139300.0
2023-07-09,108.0,114.0,105.0,113.0,113.0,10078572500.0
2023-07-16,112.0,119.0,111.0,113.0,113.0,11951605100.0
2023-07-23,112.0,115.0,110.0,111.0,111.0,8412562500.0
2023-07-30,111.0,115.0,107.0,108.0,108.0,8908478800.0
2023-08-06,108.0,109.0,90.0,91.0,91.0,21691693900.0
2023-08-13,92.0,98.0,90.0,92.0,92.0,10424764600.0
2023-08-20,92.0,94.0,84.0,84.0,84.0,12117380000.0
2023-08-27,85.0,97.0,83.0,95.0,95.0,17986363700.0
2023-09-03,95.0,99.0,89.0,93.0,93.0,9663000100.0
2023-09-10,93.0,93.0,86.0,92.0,92.0,11757712800.0
2023-09-17,91.0,94.0,87.0,87.0,87.0,6174489600.0
2023-09-24,88.0,92.0,84.0,85.0,85.0,12277704500.0
2023-10-01,85.0,87.0,82.0,84.0,84.0,10963910500.0
2023-10-08,83.0,84.0,66.0,67.0,67.0,23218703000.0
2023-10-15,66.0,70.0,54.0,60.0,60.0,36381097300.0
2023-10-22,61.0,66.0,55.0,56.0,56.0,17211052300.0
2023-10-29,56.0,78.0,55.0,70.0,70.0,36331629300.0
2023-11-05,71.0,78.0,67.0,76.0,76.0,24465885600.0
2023-11-12,77.0,88.0,76.0,84.0,84.0,26722445600.0
2023-11-19,85.0,96.0,82.0,94.0,94.0,29938134900.0
2023-11-26,95.0,109.0,91.0,109.0,109.0,28946196400.0
2023-12-03,110.0,116.0,87.0,108.0,108.0,70613572300.0
2023-12-10,109.0,110.0,81.0,93.0,93.0,64405429700.0
2023-12-17,92.0,92.0,83.0,86.0,86.0,19345337600.0
2023-12-24,86.0,88.0,84.0,86.0,86.0,4279618900.0
2023-12-31,86.0,89.0,84.0,86.0,86.0,4718533300.0
2024-01-07,86.0,92.0,85.0,91.0,91.0,11339115500.0
2024-01-14,91.0,92.0,83.0,86.0,86.0,14406448600.0
2024-01-21,87.0,87.0,81.0,82.0,82.0,8926457200.0
2024-01-28,82.0,92.0,76.0,90.0,90.0,23798290200.0
2024-02-04,90.0,91.0,82.0,84.0,84.0,9004940100.0
2024-02-11,86.0,90.0,82.0,83.0,83.0,12111653000.0
2024-02-18,84.0,85.0,77.0,79.0,79.0,12280473600.0
2024-02-25,79.0,81.0,67.0,69.0,69.0,23212769400.0
2024-03-03,69.0,75.0,63.0,70.0,70.0,23630790300.0
2024-03-10,70.0,71.0,67.0,71.0,71.0,15992993600.0
2024-03-17,71.0,76.0,64.0,68.0,68.0,17817053300.0
2024-03-24,68.0,69.0,66.0,69.0,69.0,3699517800.0
2024-03-31,68.0,70.0,66.0,68.0,68.0,6933844300.0
2024-04-07,,,,,,
2024-04-14,67.0,68.0,59.0,59.0,59.0,11923238900.0
2024-04-21,59.0,65.0,59.0,61.0,61.0,10813903900.0
2024-04-28,61.0,66.0,61.0,66.0,66.0,10847844200.0
2024-05-05,67.0,70.0,64.0,67.0,67.0,8287603000.0
2024-05-12,67.0,69.0,64.0,66.0,66.0,11044765700.0
2024-05-19,67.0,67.0,64.0,66.0,66.0,5822695900.0
2024-05-26,67.0,74.0,65.0,65.0,65.0,26611914700.0
2024-06-02,65.0,67.0,58.0,58.0,58.0,15424795400.0
2024-06-09,58.0,59.0,50.0,52.0,52.0,32657937600.0
2024-06-16,51.0,52.0,50.0,50.0,50.0,21141255800.0
